example_id,label
0,1
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,1
561,1
562,0
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,1
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,1
668,1
669,1
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,0
678,1
679,1
680,0
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,0
700,1
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,1
739,0
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,0
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,1
825,0
826,1
827,0
828,0
829,1
830,0
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,1
842,0
843,0
844,0
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,1
854,0
855,1
856,0
857,0
858,0
859,0
860,1
861,0
862,1
863,1
864,0
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,1
873,1
874,0
875,0
876,1
877,0
878,0
879,1
880,1
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,1
889,1
890,1
891,0
892,1
893,1
894,0
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,0
904,1
905,1
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,1
919,1
920,1
921,1
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,0
934,1
935,1
936,1
937,0
938,0
939,1
940,0
941,1
942,0
943,1
944,1
945,1
946,0
947,1
948,0
949,1
950,0
951,0
952,0
953,1
954,0
955,1
956,0
957,0
958,1
959,1
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,0
974,1
975,0
976,0
977,1
978,1
979,1
980,0
981,0
982,1
983,0
984,1
985,0
986,0
987,1
988,0
989,1
990,1
991,1
992,1
993,0
994,1
995,0
996,0
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,1
1005,0
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,1
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,1
1049,1
1050,0
1051,1
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
1061,0
1062,0
1063,1
1064,1
1065,0
1066,1
1067,1
1068,0
1069,0
1070,1
1071,1
1072,0
1073,0
1074,1
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,0
1093,0
1094,1
1095,1
1096,0
1097,1
1098,1
1099,0
1100,0
1101,1
1102,1
1103,1
1104,0
1105,0
1106,1
1107,1
1108,0
1109,0
1110,1
1111,0
1112,1
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,1
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,0
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,0
1183,0
1184,1
1185,0
1186,1
1187,1
1188,1
1189,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,0
1196,0
1197,0
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,1
1205,0
1206,0
1207,1
1208,0
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1221,1
1222,1
1223,1
1224,1
1225,0
1226,1
1227,0
1228,0
1229,0
1230,0
1231,1
1232,1
1233,0
1234,0
1235,0
1236,1
1237,1
1238,1
1239,1
1240,0
1241,0
1242,1
1243,1
1244,0
1245,0
1246,1
1247,0
1248,1
1249,1
1250,1
1251,1
1252,0
1253,0
1254,1
1255,0
1256,1
1257,1
1258,0
1259,1
1260,1
1261,1
1262,1
1263,1
1264,0
1265,0
1266,1
1267,0
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,0
1275,0
1276,0
1277,1
1278,0
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,1
1299,0
1300,1
1301,0
1302,1
1303,1
1304,1
1305,1
1306,0
1307,1
1308,1
1309,0
1310,1
1311,0
1312,1
1313,0
1314,1
1315,1
1316,1
1317,0
1318,0
1319,0
1320,0
1321,1
1322,0
1323,1
1324,1
1325,0
1326,0
1327,1
1328,1
1329,0
1330,1
1331,1
1332,0
1333,0
1334,1
1335,1
1336,0
1337,1
1338,0
1339,1
1340,0
1341,1
1342,1
1343,0
1344,0
1345,1
1346,0
1347,1
1348,0
1349,1
1350,0
1351,1
1352,0
1353,1
1354,1
1355,1
1356,1
1357,0
1358,1
1359,0
1360,0
1361,0
1362,1
1363,1
1364,0
1365,0
1366,1
1367,1
1368,1
1369,0
1370,0
1371,1
1372,0
1373,1
1374,0
1375,1
1376,1
1377,0
1378,1
1379,0
1380,1
1381,0
1382,1
1383,1
1384,0
1385,1
1386,1
1387,1
1388,0
1389,1
1390,0
1391,0
1392,1
1393,1
1394,1
1395,1
1396,0
1397,1
1398,1
1399,0
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,0
1409,1
1410,0
1411,0
1412,1
1413,1
1414,1
1415,1
1416,1
1417,0
1418,0
1419,1
1420,0
1421,1
1422,1
1423,1
1424,0
1425,1
1426,1
1427,0
1428,0
1429,1
1430,0
1431,0
1432,0
1433,0
1434,1
1435,0
1436,0
1437,1
1438,1
1439,1
1440,0
1441,0
1442,0
1443,1
1444,0
1445,0
1446,0
1447,1
1448,0
1449,1
1450,1
1451,0
1452,0
1453,0
1454,1
1455,0
1456,1
1457,1
1458,1
1459,0
1460,1
1461,0
1462,0
1463,0
1464,0
1465,1
1466,1
1467,0
1468,1
1469,1
1470,0
1471,0
1472,1
1473,1
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,1
1482,0
1483,1
1484,0
1485,0
1486,1
1487,0
1488,0
1489,1
1490,1
1491,1
1492,0
1493,0
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,0
1501,1
1502,0
1503,0
1504,1
1505,0
1506,1
1507,0
1508,1
1509,1
1510,0
1511,0
1512,1
1513,0
1514,0
1515,0
1516,1
1517,0
1518,0
1519,1
1520,1
1521,1
1522,0
1523,1
1524,0
1525,1
1526,0
1527,0
1528,1
1529,1
1530,1
1531,1
1532,0
1533,0
1534,0
1535,1
1536,1
1537,0
1538,0
1539,1
1540,1
1541,0
1542,0
1543,0
1544,0
1545,1
1546,1
1547,1
1548,0
1549,0
1550,1
1551,1
1552,0
1553,1
1554,0
1555,1
1556,1
1557,1
1558,1
1559,0
1560,1
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,1
1568,1
1569,1
1570,0
1571,0
1572,0
1573,0
1574,0
1575,1
1576,1
1577,1
1578,0
1579,1
1580,0
1581,0
1582,0
1583,1
1584,1
1585,1
1586,1
1587,0
1588,0
1589,1
1590,0
1591,1
1592,1
1593,1
1594,0
1595,0
1596,1
1597,0
1598,1
1599,0
1600,0
1601,0
1602,1
1603,1
1604,1
1605,0
1606,0
1607,1
1608,1
1609,1
1610,0
1611,1
1612,1
1613,1
1614,1
1615,1
1616,0
1617,0
1618,1
1619,1
1620,0
1621,0
1622,1
1623,1
1624,1
1625,1
1626,0
1627,1
1628,0
1629,0
1630,1
1631,0
1632,1
1633,1
1634,0
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,0
1648,1
1649,1
1650,0
1651,0
1652,1
1653,0
1654,1
1655,0
1656,1
1657,1
1658,0
1659,0
1660,1
1661,0
1662,0
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,1
1670,0
1671,0
1672,0
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,0
1680,1
1681,1
1682,1
1683,1
1684,0
1685,1
1686,0
1687,1
1688,1
1689,1
1690,1
1691,1
1692,0
1693,1
1694,1
1695,0
1696,0
1697,1
1698,0
1699,1
1700,1
1701,1
1702,1
1703,1
1704,0
1705,0
1706,0
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,0
1720,0
1721,1
1722,1
1723,1
1724,0
1725,0
1726,1
1727,1
1728,0
1729,1
1730,1
1731,0
1732,1
1733,1
1734,1
1735,0
1736,0
1737,1
1738,1
1739,1
1740,1
1741,0
1742,0
1743,0
1744,0
1745,0
1746,1
1747,1
1748,1
1749,0
1750,0
1751,1
1752,0
1753,1
1754,0
1755,0
1756,0
1757,0
1758,0
1759,1
1760,0
1761,1
1762,1
1763,0
1764,1
1765,1
1766,0
1767,1
1768,1
1769,0
1770,1
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,1
1780,1
1781,0
1782,1
1783,1
1784,1
1785,1
1786,0
1787,0
1788,1
1789,0
1790,0
1791,0
1792,0
1793,0
1794,1
1795,0
1796,1
1797,0
1798,0
1799,0
1800,1
1801,1
1802,1
1803,0
1804,1
1805,1
1806,1
1807,0
1808,0
1809,1
1810,1
1811,0
1812,0
1813,1
1814,1
1815,0
1816,1
1817,0
1818,1
1819,1
1820,1
1821,0
1822,0
1823,0
1824,1
1825,0
1826,1
1827,0
1828,1
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,0
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,0
1852,0
1853,1
1854,1
1855,1
1856,0
1857,0
1858,1
1859,0
1860,1
1861,0
1862,0
1863,1
1864,1
1865,1
1866,1
1867,0
1868,1
1869,1
1870,0
1871,1
1872,1
1873,1
1874,1
1875,1
1876,0
1877,1
1878,1
1879,0
1880,1
1881,0
1882,0
1883,0
1884,1
1885,0
1886,1
1887,1
1888,0
1889,1
1890,0
1891,1
1892,0
1893,1
1894,0
1895,0
1896,1
1897,1
1898,1
1899,1
1900,0
1901,1
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,1
1910,1
1911,1
1912,0
1913,1
1914,0
1915,1
1916,0
1917,0
1918,0
1919,1
1920,0
1921,1
1922,1
1923,0
1924,0
1925,1
1926,1
1927,1
1928,0
1929,0
1930,1
1931,0
1932,0
1933,1
1934,0
1935,0
1936,1
1937,0
1938,1
1939,0
1940,1
1941,0
1942,1
1943,0
1944,0
1945,0
1946,1
1947,1
1948,1
1949,0
1950,0
1951,1
1952,1
1953,0
1954,0
1955,1
1956,0
1957,1
1958,1
1959,0
1960,0
1961,0
1962,1
1963,1
1964,1
1965,0
1966,0
1967,1
1968,1
1969,1
1970,1
1971,0
1972,1
1973,0
1974,0
1975,1
1976,1
1977,0
1978,1
1979,1
1980,1
1981,0
1982,0
1983,0
1984,0
1985,0
1986,1
1987,1
1988,1
1989,0
1990,1
1991,1
1992,0
1993,0
1994,0
1995,0
1996,1
1997,1
1998,0
1999,1
2000,1
2001,1
2002,0
2003,1
2004,1
2005,0
2006,1
2007,0
2008,0
2009,1
2010,0
2011,1
2012,1
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,1
2021,0
2022,1
2023,0
2024,1
2025,1
2026,0
2027,1
2028,1
2029,1
2030,1
2031,0
2032,1
2033,0
2034,1
2035,1
2036,1
2037,1
2038,1
2039,0
2040,1
2041,0
2042,0
2043,1
2044,0
2045,1
2046,0
2047,0
2048,1
2049,0
2050,1
2051,0
2052,1
2053,0
2054,1
2055,0
2056,1
2057,1
2058,0
2059,0
2060,0
2061,1
2062,0
2063,0
2064,0
2065,0
2066,0
2067,1
2068,0
2069,1
2070,0
2071,1
2072,0
2073,0
2074,1
2075,0
2076,0
2077,1
2078,1
2079,1
2080,0
2081,1
2082,1
2083,1
2084,0
2085,1
2086,0
2087,1
2088,0
2089,0
2090,1
2091,0
2092,1
2093,0
2094,0
2095,1
2096,1
2097,0
2098,1
2099,0
2100,0
2101,0
2102,1
2103,1
2104,0
2105,0
2106,0
2107,1
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,1
2115,1
2116,1
2117,0
2118,0
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,0
2126,0
2127,1
2128,1
2129,1
2130,0
2131,1
2132,0
2133,1
2134,1
2135,1
2136,1
2137,1
2138,0
2139,1
2140,0
2141,1
2142,1
2143,0
2144,0
2145,0
2146,1
2147,1
2148,0
2149,0
2150,1
2151,1
2152,0
2153,1
2154,0
2155,0
2156,0
2157,1
2158,1
2159,1
2160,0
2161,1
2162,1
2163,1
2164,0
2165,1
2166,1
2167,0
2168,0
2169,1
2170,0
2171,1
2172,0
2173,0
2174,0
2175,1
2176,0
2177,1
2178,1
2179,0
2180,1
2181,1
2182,0
2183,0
2184,1
2185,0
2186,0
2187,1
2188,1
2189,1
2190,0
2191,0
2192,0
2193,1
2194,0
2195,1
2196,1
2197,1
2198,1
2199,0
2200,0
2201,1
2202,1
2203,0
2204,0
2205,1
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,1
2215,0
2216,1
2217,0
2218,0
2219,1
2220,0
2221,0
2222,0
2223,1
2224,1
2225,0
2226,0
2227,0
2228,0
2229,0
2230,1
2231,0
2232,0
2233,1
2234,0
2235,0
2236,0
2237,1
2238,0
2239,0
2240,0
2241,1
2242,1
2243,1
2244,1
2245,1
2246,0
2247,0
2248,1
2249,1
2250,1
2251,1
2252,0
2253,1
2254,1
2255,0
2256,1
2257,1
2258,1
2259,0
2260,1
2261,1
2262,1
2263,0
2264,1
2265,1
2266,1
2267,0
2268,0
2269,0
2270,0
2271,1
2272,0
2273,1
2274,1
2275,0
2276,1
2277,1
2278,1
2279,1
2280,0
2281,0
2282,1
2283,0
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,0
2291,1
2292,1
2293,0
2294,0
2295,1
2296,1
2297,0
2298,1
2299,0
2300,0
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,0
2312,1
2313,1
2314,0
2315,0
2316,1
2317,1
2318,1
2319,0
2320,0
2321,1
2322,0
2323,0
2324,1
2325,1
2326,0
2327,1
2328,0
2329,0
2330,1
2331,0
2332,1
2333,0
2334,1
2335,1
2336,0
2337,1
2338,0
2339,1
2340,1
2341,0
2342,0
2343,1
2344,1
2345,1
2346,0
2347,1
2348,1
2349,0
2350,0
2351,0
2352,1
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,0
2360,0
2361,1
2362,1
2363,1
2364,1
2365,0
2366,1
2367,1
2368,1
2369,1
2370,1
2371,0
2372,1
2373,0
2374,0
2375,1
2376,1
2377,1
2378,0
2379,0
2380,1
2381,1
2382,0
2383,0
2384,1
2385,0
2386,1
2387,1
2388,1
2389,0
2390,1
2391,0
2392,0
2393,0
2394,0
2395,1
2396,1
2397,0
2398,0
2399,1
2400,0
2401,1
2402,1
2403,0
2404,0
2405,1
2406,1
2407,1
2408,1
2409,0
2410,1
2411,1
2412,1
2413,0
2414,0
2415,0
2416,1
2417,1
2418,1
2419,1
2420,0
2421,0
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,1
2431,1
2432,1
2433,0
2434,0
2435,0
2436,1
2437,1
2438,0
2439,0
2440,1
2441,0
2442,1
2443,0
2444,1
2445,0
2446,0
2447,1
2448,0
2449,1
2450,0
2451,1
2452,0
2453,0
2454,0
2455,0
2456,1
2457,0
2458,0
2459,1
2460,1
2461,1
2462,0
2463,1
2464,0
2465,1
2466,0
2467,0
2468,1
2469,1
2470,0
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,0
2478,0
2479,1
2480,1
2481,0
2482,0
2483,0
2484,0
2485,0
2486,1
2487,0
2488,1
2489,1
2490,1
2491,1
2492,0
2493,1
2494,1
2495,1
2496,0
2497,1
2498,1
2499,0
2500,1
2501,0
2502,0
2503,1
2504,0
2505,0
2506,1
2507,1
2508,0
2509,1
2510,1
2511,1
2512,1
2513,0
2514,0
2515,1
2516,1
2517,0
2518,1
2519,0
2520,1
2521,1
2522,0
2523,0
2524,1
2525,1
2526,0
2527,1
2528,0
2529,0
2530,1
2531,1
2532,1
2533,0
2534,1
2535,0
2536,1
2537,1
2538,1
2539,0
2540,0
2541,1
2542,0
2543,0
2544,1
2545,0
2546,0
2547,0
2548,0
2549,1
2550,1
2551,0
2552,0
2553,1
2554,1
2555,1
2556,0
2557,1
2558,1
2559,1
2560,0
2561,1
2562,1
2563,1
2564,1
2565,1
2566,0
2567,0
2568,1
2569,1
2570,1
2571,0
2572,0
2573,1
2574,1
2575,0
2576,1
2577,1
2578,0
2579,1
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,1
2587,0
2588,0
2589,1
2590,1
2591,1
2592,0
2593,1
2594,0
2595,0
2596,0
2597,1
2598,0
2599,0
2600,0
2601,1
2602,1
2603,1
2604,0
2605,1
2606,0
2607,1
2608,1
2609,0
2610,0
2611,1
2612,1
2613,0
2614,0
2615,0
2616,1
2617,0
2618,1
2619,1
2620,0
2621,0
2622,0
2623,0
2624,1
2625,0
2626,1
2627,1
2628,0
2629,0
2630,0
2631,1
2632,1
2633,0
2634,0
2635,1
2636,0
2637,0
2638,1
2639,1
2640,1
2641,0
2642,0
2643,0
2644,1
2645,0
2646,0
2647,0
2648,1
2649,0
2650,1
2651,0
2652,0
2653,1
2654,1
2655,0
2656,0
2657,1
2658,0
2659,0
2660,1
2661,1
2662,0
2663,0
2664,0
2665,1
2666,0
2667,1
2668,0
2669,0
2670,1
2671,0
2672,0
2673,0
2674,1
2675,1
2676,1
2677,0
2678,0
2679,0
2680,0
2681,1
2682,1
2683,1
2684,0
2685,0
2686,0
2687,1
2688,1
2689,0
2690,0
2691,0
2692,1
